manufacturer_slice,match
east african ltd,"['east african ltd', 'east african limited', 'east african', 'east africa limited', 'east african seed']"
base east africa,"['base east africa', 'ariel east africa', 'bic east africa', 'sarawe east africa', 'east africa']"
bayline industries ltd,"['bayline industries ltd', 'buyline industries ltd', 'haler industries ltd', 'grain industries ltd', 'buyline industries']"
cropchem east,"['cropchem east', 'cropchem ltd']"
microstar international ltd,"['microstar international ltd', 'microsta international ltd.', 'micropsta international ltd', 'microsta internationa ltd', 'microstar international']"
vanlo ivestment ltd,"['vanlo ivestment ltd', 'vanlo investment limited', 'volvo investment ltd', 'allure investment ltd']"
farm solution a.ltd,"['farm solution a.ltd', 'farm solution']"
empire limited,"['empire limited', 'empire ltd', 'empire feeds limited', 'vepro limited', 'pembe limited']"
novixa industries,"['novixa industries', 'norida industries', 'nova insustries', 'norda industries', 'conix industries']"
shrine lifesciences pvt.ltd,"['shrine lifesciences pvt.ltd', 'curis lifesciences pvt.ltd', 'curis lifesciences pvt.ltd.', 'innocia lifesciences pvt.ltd']"
tatachemicals,"['tatachemicals', 'tata chemicals', 'tata chemical', 'tatami chemicals', 'tata  chemical']"
kenya highlands ltd,"['kenya highlands ltd', 'kenya highland ltd', 'kenya highlands', 'kenya highland ,', 'kenya highlands seeds']"
shimu animal,"['shimu animal', 'shimu animals', 'shimu animals ltd']"
mashambani farm,"['mashambani farm', 'mashambani farm input', 'mashambani farm inputs', 'mashambani']"
avivet agro ltd,"['avivet agro ltd', 'avivet agro sol', 'avivet agro', 'faith agro ltd', 'invectra agro ltd']"
holland industries ltd,"['holland industries ltd', 'holland industries', 'holland  industries', 'holland industres', 'heranda industries ltd']"
boon vanit,"['boon vanit', 'boonvanit', 'bon vanit', 'boon vamit', 'boom vanit']"
birds limited,"['birds limited', 'brush limited', 'blidz limited', 'dips limited', 'best limited']"
hebei pharmaceutical ltd,"['hebei pharmaceutical ltd', 'hebei pharmaceutical', 'hebei pharmaceuticals', 'biopharmaceutical ltd', 'hebei pharmceutical']"
green life protection.,['green life protection.']
allua animal,"['allua animal', 'allure animal', 'allure animals', 'alluere animal', 'alllure animal']"
aroms chemicals industries,"['aroms chemicals industries', 'arom chemicals industries', 'aroms chemical industriesa', ""arom's chemical industries"", 'arom chemicals industrie']"
arom's chemical industries,"[""arom's chemical industries"", 'aroms chemicals industries', 'aroms chemical industriesa', 'arom chemical industries', 'arom chemicals industries']"
cropcare ltd.,"['cropcare ltd.', 'crop care ltd', 'agrocare ltd.', 'cropcare limited', 'crown care ltd']"
utraventis ltd,"['utraventis ltd', 'utravetis ltd.', 'utravet ltd', 'ultravetis limited', 'truvets ltd']"
top seeds,"['top seeds', 'topseeds', 'top seed', 'top seeds ltd', 'tsavo seeds']"
heranba industries. ltd,"['heranba industries. ltd', 'hernaba industries ltd', 'heranda industries ltd', 'heranba industried ltd', 'haranba industries ltd']"
cropvet limited,"['cropvet limited', 'cropcare limited', 'synovet limited', 'covigen limited', 'coopers limited']"
right ventures,"['right ventures', 'light ventures', 'light venturess', 'light ventures,', 'light  ventures']"
blidz limited,"['blidz limited', 'birds limited', 'allied limited']"
micropsta international ltd,"['micropsta international ltd', 'microstar international ltd', 'microsta international ltd.', 'microsta internationa ltd', 'microsta international']"
ashishi life science,"['ashishi life science', 'ashis life science', 'ashish life scoence', 'ashich life science', 'asish newlife science']"
tata industries,"['tata industries', 'baata industries', 'nact industries', 'betavet industries', 'thika industries']"
biochem industries ltd,"['biochem industries ltd', 'botachem industries ltd', 'biochem industry ltd', 'biochem industries', 'bio chem industries']"
green africa ltd.,"['green africa ltd.', 'green africa ltd', 'green africa limited', 'agrevive africa ltd', 'golden africa ltd']"
highchem marketing,"['highchem marketing', 'highchem market', 'highchem marketing industry']"
granules ltd,['granules ltd']
nestile kenya limited,"['nestile kenya limited', 'nestle kenya ltd', 'tci kenya limited', 'nestle (kenya) ltd', 'unifert kenya limited']"
kenafric industries limited,"['kenafric industries limited', 'kenafric industries ltd', 'kenafrica industries ltd', 'kenafrica industries ltdk', 'kenefric industries ltd']"
novagen healthcare ltd,"['novagen healthcare ltd', 'skant healthcare ltd', 'crown healthcare ltd', 'comet healthcare ltd']"
merry chem ltd,"['merry chem ltd', 'merrichem ltd', 'merry chem limited', 'marychem ltd', 'merry chem']"
statpack industries limited,"['statpack industries limited', 'statpack industries ltd', 'packaging industries limited', 'mafuko industries limited']"
utravetis ltd.,"['utravetis ltd.', 'utraventis ltd', 'utravet ltd', 'ultravetis limited', 'truvets ltd']"
naju industries,"['naju industries', 'ajabu industries', 'nakuru industries', 'nact industries', 'nacl industries']"
ely chemical industries,"['ely chemical industries', 'elys chemical industries', 'elys chemicals industries', 'excel chemicals industries', 'anhul chemical industries']"
daima limited,"['daima limited', 'dama limited', 'daina limited', 'animax limited', 'dawa limited']"
reyoung pharmaceuticals,"['reyoung pharmaceuticals', 'reyoung pharmacruticals', 'fredun pharmaceuticals', 'reyoung pharmacutical ltd', 'fredun pharmaceauticals']"
atco laboratories ltd.,"['atco laboratories ltd.', 'atco laboratories ltd', 'atco laboratoried ltd', 'atco labaratories ltd', 'atco laboratories limited']"
nerix pharm,"['nerix pharm', 'nerix phama', 'norix pharma', 'nevix pharma', 'nelix pharma']"
simlaw seeds ltd.,"['simlaw seeds ltd.', 'simlaw seeds ltd', 'simlaw seeds.', 'sigma feeds ltd.', 'simlaw seeds']"
feedo agencies,"['feedo agencies', 'fedo agences', 'fedo agecies', 'fed agencies', 'pedo agencies']"
medical kenya ltd,"['medical kenya ltd', 'medical know ltd']"
kelchemichals ltd,"['kelchemichals ltd', 'chemical ltd', 'elys chemical ltd', 'bell chemical ltd', 'kapi chemicals ltd']"
aesthetic co. ltd,['aesthetic co. ltd']
mutuchem ent ltd.,"['mutuchem ent ltd.', 'mutuchem ent ltd', 'mutucheme ent ltd', 'mutuchem ent. ltd', 'mutuchem  ent ltd']"
pana seeds,"['pana seeds', 'panna seeds', 'panar seeds', 'pannar seeds', 'pannar seed']"
cafflon kenya ltd,"['cafflon kenya ltd', 'candy kenya ltd']"
jiko industries,"['jiko industries', 'nikko industries', 'jaico industries', 'wika industries', 'pi industries']"
a-z textile,['a-z textile']
parijat industries ltd,"['parijat industries ltd', 'parijat industries', 'pt industries ltd', 'pi industries ltd', 'pi industies ltd']"
bdh industrie ltd,"['bdh industrie ltd', 'bdh industries', 'pt industries ltd', 'pi industries ltd', 'p1 industries ltd']"
farmate co. ltd,"['farmate co. ltd', 'farmat co ltd', 'famas co ltd', 'artevet co. ltd']"
cropcare limited,"['cropcare limited', 'cropvet limited', 'cropcare ltd.', 'crop care ltd', 'farmcare limited']"
elys chemical ltd,"['elys chemical ltd', 'bell chemical ltd', 'elys chemical', 'excel chemical ltd', 'deral chemical ltd']"
kingwing chemical,"['kingwing chemical', 'king wing chemical', 'king chemical', 'king chemicals', 'kings chemicals']"
excel chemicals limited,"['excel chemicals limited', 'excel chemical ltd', 'dera chemical limited']"
jojemi supplier ltd,"['jojemi supplier ltd', 'jojemi supa ltd', 'vet supplier ltd']"
continental ltd,"['continental ltd', 'continental  ltd.', 'continental', 'continental seed', 'continental seeds']"
amin impex pvt.ltd,"['amin impex pvt.ltd', 'amin impex pvt.ltd.']"
grebe enterprises,"['grebe enterprises', 'grebe enterprise', 'kyebe enterprises', 'resi enterprises', 'renecap enterprises']"
agricole international ltd,"['agricole international ltd', 'agrisole international  ltd', 'agrisole internatinal ltd', 'agrisole international limited', 'agrisole international']"
jiangsu united,"['jiangsu united', 'jiangsu huiteng', 'jiangsu runze', 'jiangsu inter', 'jiangsu ltd']"
nanjing redsum,"['nanjing redsum', 'nanjing redsun', 'nanjing red sun', 'nanjing redsun co', 'nanjing redsun ltd']"
fixatop kenya ltd,['fixatop kenya ltd']
ken crop kenya,['ken crop kenya']
alkem laboratories ltd,"['alkem laboratories ltd', 'les laboratories ltd', 'acme laboratories ltd', 'alkem laboratories india', 'leben laboratories ltd']"
dera chemicals,"['dera chemicals', 'dera  chemicals', 'dera chemical', 'dera chemials', 'derail chemicals']"
crop chem,"['crop chem', 'cropchem', 'copchem', 'crop chem ltd']"
hebei hope,"['hebei hope', 'hebel hope']"
privi life,['privi life']
asthetic lmt,"['asthetic lmt', 'asthetical', 'asthetic']"
agrisole international  ltd,"['agrisole international  ltd', 'agrisole internatinal ltd', 'agricole international ltd', 'agrisole international limited', 'agrisole international']"
ip industries ltd,"['ip industries ltd', 'pt industries ltd', 'pi industries ltd', 'p1 industries ltd', 'pi industies ltd']"
lmpact chemicals ltd,"['lmpact chemicals ltd', 'impact chemicals ltd', 'impact chemical ltd', 'impact chemcals ltd', 'impack chemical ltd']"
pelcoghen enterprices,['pelcoghen enterprices']
clsmos limited,"['clsmos limited', 'cosmos limited', 'lagos limited', 'eco limited', 'cfo limited']"
bioscience laboratories ltd,"['bioscience laboratories ltd', 'leben laboratories ltd', '.sn laboratories ltd', 'lifeline laboratories ltd', 'salina laboratories ltd']"
yara international ltd,"['yara international ltd', 'sharda international ltd', 'yara international asa', 'alfasan international ltd', 'agricole international ltd']"
africasia seed,"['africasia seed', 'africasia seeds', 'aficasia seed', 'aficasia seeds', 'afrcassia seeds']"
anifeed ltd,"['anifeed ltd', 'unifeed ltd', 'taifeeds  ltd', 'winfeed ltd', 'confeed ltd']"
boom vani,"['boom vani', 'boom vanit', 'boon vanit', 'boom vamit']"
enterprises ltd,"['enterprises ltd', 'vonka enterprises ltd', 'sueng enterprises ltd', 'biddi enterprises ltd', 'jk entreprise ltd']"
hangzhou agrochemical,"['hangzhou agrochemical', 'hangzhouz agrochemical', 'hangzhou agrochemicals', 'jingo agrochemical', 'jingbo agrochemical']"
syova seeds,"['syova seeds', 'syova seed', 'syova seeds ltd', 'savan seeds', 'syova seed ltd']"
mwanza feeds ltd,"['mwanza feeds ltd', 'mwanza feeds', 'almanac feeds ltd', 'daina feeds ltd', 'max feeds ltd']"
made animal health,"['made animal health', 'msd animal health', 'msd animalhealth', 'bayer animal health', 'animal health']"
vetpro africa,['vetpro africa']
tci kenya ltd,"['tci kenya ltd', 'cri kenya ltd', 'tci kenya limited', 'tci k ltd', 'kenya ltd']"
amazon seed,"['amazon seed', 'amazon seeds', 'amazonseeds']"
jubaili chemicals,"['jubaili chemicals', 'jabali chemicals', 'quality chemicals', 'qualitt chemicals', 'jilas chemicals']"
dera  chemical industry,"['dera  chemical industry', 'dena chemical industry', 'dera chemical inds', 'derailleur chemical industry', 'dera chemical ind']"
smlaw seeds compa,"['smlaw seeds compa', 'simlaw seed co.']"
asshisjblife science pvt,"['asshisjblife science pvt', 'ashis life science']"
kapi chemicals ltd,"['kapi chemicals ltd', 'king chemical ltd', 'arom chemicals ltd', 'kyx chemical ltd', 'rainbow chemicals ltd']"
incepta pharmaceutical ltd,"['incepta pharmaceutical ltd', 'incepta phaemaceuticals ltd', 'centaur pharmaceutical ltd', 'centaur pharmaceuticals ltd', 'alliance pharmaceutical ltd']"
kartasi industries ltd,"['kartasi industries ltd', 'kartasi industriies ltd', 'kartasi industries', 'sukari industries ltd', 'karatasi industries']"
opsonin pharma limited,"['opsonin pharma limited', 'ipsonin pharma limited', 'opsonin pharma ltd', 'zain pharm limited']"
eagle vet,"['eagle vet', 'eagle vets', 'egle vet', 'eaglevet', 'eagl vet']"
monsonto kenya limmited,"['monsonto kenya limmited', 'delmonte kenya limited']"
milan laboratories ltd,"['milan laboratories ltd', 'mylan laboratories ltd', 'maylan laboratories ltd', 'mylan laboratoriesltd', 'milan laboratories']"
microsta international ltd.,"['microsta international ltd.', 'microstar international ltd', 'micropsta international ltd', 'microsta internationa ltd', 'microsta international']"
statpack industries ltd,"['statpack industries ltd', 'statpack industries limited', 'tarko industries ltd', 'techpark industries ltd', 'packaging industries ltd']"
farm feed limited,"['farm feed limited', 'agrofeed limited', 'cargo feeds limited', 'unga feed limited', 'suca feed limited']"
curis lifesciences pvt.ltd.,"['curis lifesciences pvt.ltd.', 'curis lifesciences pvt.ltd', 'shrine lifesciences pvt.ltd', 'innocia lifesciences pvt.ltd']"
modern ways,['modern ways']
eastafrica seed co.ltd,"['eastafrica seed co.ltd', 'eastafrica seed co', 'africasia seed co.ltd', 'east african bus.co.ltd']"
alfamix feeds ltd,"['alfamix feeds ltd', 'alfamix feed ltd', 'alfamix feeds', 'alfamix feed ent', 'alfamix feed ent.']"
"king chemical co.lltd,","['king chemical co.lltd,', 'king chemical ltd', 'kings chemical co.', 'zhejiang chemical co.ltd', 'lumin chemical co..ltd']"
doshi group economy,['doshi group economy']
maxi chem enterprises,"['maxi chem enterprises', 'maxichem enterprises', 'vitchem enterprises', 'kawyu chem enterprises', 'botachem enterprises']"
deri manufacturers,"['deri manufacturers', 'dhrish manufacturers', 'iringa manufacturers', 'arikel manufacturers', 'amelin manufacturers']"
intracin phamaceuticall ltd,"['intracin phamaceuticall ltd', 'lntracin pharmacuticals ltd', 'intracin pharmaceutical', 'intracin pharmaceuticals', 'lincolin pharmaceuticals ltd']"
ashish life,"['ashish life', 'aishish life', 'ashislife', 'ashish life ltd', 'high life']"
faida/kitale industries ltd,"['faida/kitale industries ltd', 'pidilite industries ltd']"
shangai gongyl pharmacautical,"['shangai gongyl pharmacautical', 'shanghai  pharmaceutical', 'shangai  pharmaceuttical', 'shanghai pharmaceutical', 'shangai pharmaceuticals']"
ameline suppliers ltd,"['ameline suppliers ltd', 'ameline suppliers', 'amenline suppliers', 'ameline supplies', 'ameline supliers']"
aficasia seed,"['aficasia seed', 'africasia seed', 'aficasia seeds', 'africasia seeds', 'afrcassia seeds']"
hebel and,['hebel and']
bhd industries limited,"['bhd industries limited', 'crown industries limited', 'bdh industrie ltd', 'mafuko industries limited', 'grains industries limited']"
beiersdorf east,"['beiersdorf east', 'beiersdorf ea ltd', 'beiersdorf']"
laboratories ltd.,"['laboratories ltd.', 'laboratories ltd', 'laboratoire ltd', 'atco laboratories ltd.', 'zim laboratories ltd']"
baoye chemical,"['baoye chemical', 'baoye chem', 'bio chemicals', 'avom chemical', 'arom chemical']"
hebei kexing pharceuticals,"['hebei kexing pharceuticals', 'hebei pharmaceuticals', 'hebei pharmceutical', 'hebei kexing pharma']"
agrotech ltd.,"['agrotech ltd.', 'higrotech ltd', 'agro chem ltd.']"
rkay industries,"['rkay industries', 'arkay industries', 'rok industries', 'wika industries', 'rock industries']"
safari seeds co,"['safari seeds co', 'safari seed co', 'safaris seeds', 'safari speeds', 'safari seeds company']"
haranba industries ltd,"['haranba industries ltd', 'heranba industries. ltd', 'hernaba industries ltd', 'heranda industries ltd', 'heranba industried ltd']"
neogen chemicals,"['neogen chemicals', 'eagle chemicals', 'canon chemicals', 'edge chemical', 'modern chemicals']"
sinochemical industries,"['sinochemical industries', 'nova chemical industries', 'soap &chemical industries', 'nikoz chemical industries', 'nikko chemical industries']"
vet care kenya,['vet care kenya']
vet agro ltdava,"['vet agro ltdava', 'avivet agro ltd']"
mombasa miller's,"[""mombasa miller's"", 'mombasa miller', 'mombasa millers ltd', 'monbasa millerz']"
coromandel international ltd,"['coromandel international ltd', 'coromandel intenational ltd', 'coromadel international ltd', 'coromandel lnternational ltd', 'coromandal international ltd']"
skant healthcare ltd,"['skant healthcare ltd', 'sakar healthcare ltd', 'sakari healthcare ltd', 'shalina healthcare ltd', 'sakar healthcare limited']"
kartasi industries,"['kartasi industries', 'karatasi industries', 'kartasi industries ltd', 'kartasi industriies ltd', 'fantasia industries']"
nsanja agro,"['nsanja agro', 'nsanja agro-chem', 'nsanja agro chem']"
nsanja agro-chemicals ltd,"['nsanja agro-chemicals ltd', 'nsanja agrochemical ltd', 'nsanja agrochemials ltd', 'nsanja agricochemicals ltd', 'nsanja agrochemicaks ltd']"
falcon fertilizers,"['falcon fertilizers', 'falcon fertilizers,', 'falcon fertilisers', 'falcon  fertilizer', 'falcon fertilizers co.']"
kyebe general,"['kyebe general', 'kyebe generals ltd', 'kyebe general ent.']"
elys chemical industries,"['elys chemical industries', 'elys chemicals industries', 'ely chemical industries', 'details chemicals industries', 'excel chemicals industries']"
grain industries ltd,"['grain industries ltd', 'grains industries ltd', 'grain indrustries ltd', 'gravic industries ltd', 'grains industries limited']"
botachem industries ltd,"['botachem industries ltd', 'biochem industries ltd', 'botachem industries', 'biochem industry ltd', 'biochem industries']"
allure aniamal health,"['allure aniamal health', 'allure animall health', 'allure animal  health', 'allure animael health', 'allure  animal health']"
umiraj enterprise ltd,"['umiraj enterprise ltd', 'umiraj enterprises', 'malvi enterprise ltd']"
supply services ltd,['supply services ltd']
kenya highlands,"['kenya highlands', 'kenya highlnds', 'kenya highland', 'kenya highland ,', 'kenya highlands ltd']"
hecovetis enterprises,"['hecovetis enterprises', 'hecovetis enterpries']"
crosschem international,"['crosschem international', 'chemnet international', 'rmj international', 'microsta international', 'hvm international']"
